Date,Open,High,Low,Close,Adj Close,Volume
2019-01-02,39400,39400,38550,38750,33061.84765625,7847664
2019-01-03,38300,38550,37450,37600,32080.662109375,12471493
2019-01-04,37450,37600,36850,37450,31952.66796875,14108958
2019-01-07,38000,38900,37800,38750,33061.84765625,12748997
2019-01-08,38000,39200,37950,38100,32507.259765625,12756554
2019-01-09,38650,39600,38300,39600,33787.06640625,17452708
2019-01-10,40000,40150,39600,39800,33957.72265625,14731699
2019-01-11,40350,40550,39950,40500,34554.96484375,11661063
2019-01-14,40450,40700,39850,40050,34171.0234375,11984996
2019-01-15,40050,41100,39850,41100,35066.8984375,11492756
2019-01-16,41150,41450,40700,41450,35365.51953125,8491595
2019-01-17,41700,42100,41450,41950,35792.1171875,11736903
2019-01-18,42000,42400,41950,42300,36090.74609375,11029256
2019-01-21,42700,42750,41900,42750,36474.6875,11355701
2019-01-22,42750,42850,41850,42150,35962.76953125,9964356
2019-01-23,41350,42250,41350,42000,35834.77734375,11071079
2019-01-24,43050,43100,42350,43050,36730.6484375,14747623
2019-01-25,44300,44750,43750,44750,38181.1015625,22789395
2019-01-28,45000,45500,44600,45050,38437.05859375,17998914
2019-01-29,45050,45500,44350,45500,38821.0234375,16215017
2019-01-30,44800,46400,44800,46400,39588.89453125,17505980
2019-01-31,46650,47050,46150,46150,39375.6015625,21621145
2019-02-01,46650,46950,46250,46350,39546.23828125,13832454
2019-02-07,46800,47100,46200,46200,39418.265625,15872001
2019-02-08,45700,45700,44650,44800,38223.76953125,12689196
2019-02-11,44500,45000,44250,45000,38394.40625,11125044
2019-02-12,44650,46250,44650,46050,39290.2734375,13184367
2019-02-13,46400,46700,46000,46200,39418.265625,11299738
2019-02-14,46600,47500,46150,47500,40527.4375,17259341
2019-02-15,46750,46850,45650,46050,39290.2734375,10554643
2019-02-18,46500,46850,45850,46200,39418.265625,8183728
2019-02-19,45850,46150,45450,45950,39204.95703125,6741395
2019-02-20,46750,47100,46500,46900,40015.50390625,11506720
2019-02-21,46500,47200,46200,46950,40058.1640625,8694009
2019-02-22,46500,47150,46450,47150,40228.796875,6895772
2019-02-25,47400,47550,47050,47350,40399.4375,7484716
2019-02-26,47350,47450,46500,46750,39887.5234375,7985547
2019-02-27,47000,47250,46750,46750,39887.5234375,8045211
2019-02-28,46400,46500,45100,45100,38479.7265625,23569321
2019-03-04,46000,46100,44800,44850,38266.42578125,12926539
